config,capas,arquitectura,lr,loss_train_final,loss_val_final,acc_train_final,acc_val_final
L1[8]_lr0.001,1,"(8,)",0.001,0.0001,0.0,1.0,1.0
L1[8]_lr0.01,1,"(8,)",0.01,0.0,0.0,1.0,1.0
L1[8]_lr0.1,1,"(8,)",0.1,0.0,0.0,1.0,1.0
L1[16]_lr0.001,1,"(16,)",0.001,0.0,0.0,1.0,1.0
L1[16]_lr0.01,1,"(16,)",0.01,0.0,0.0,1.0,1.0
L1[16]_lr0.1,1,"(16,)",0.1,0.0008,0.0,0.9996,1.0
L2[16x8]_lr0.001,2,"(16, 8)",0.001,0.0,0.0,1.0,1.0
L2[16x8]_lr0.01,2,"(16, 8)",0.01,0.0,0.0,1.0,1.0
L2[32x16]_lr0.001,2,"(32, 16)",0.001,0.0,0.0,1.0,1.0
L2[32x16]_lr0.01,2,"(32, 16)",0.01,0.0,0.0,1.0,1.0
L3[24x16x8]_lr0.01,3,"(24, 16, 8)",0.01,0.0,0.0,1.0,1.0
L3[32x16x8]_lr0.001,3,"(32, 16, 8)",0.001,0.0,0.0,1.0,1.0
L3[32x16x8]_lr0.01,3,"(32, 16, 8)",0.01,0.0,0.0,1.0,1.0
L3[24x16x8]_lr0.001,3,"(24, 16, 8)",0.001,0.0,0.0,1.0,1.0
L2[16x8]_lr0.1,2,"(16, 8)",0.1,0.2123,0.3161,0.9021,0.8144
L2[32x16]_lr0.1,2,"(32, 16)",0.1,0.2187,0.3168,0.9009,0.8144
L3[24x16x8]_lr0.1,3,"(24, 16, 8)",0.1,0.5767,0.6699,0.6949,0.6582
L3[32x16x8]_lr0.1,3,"(32, 16, 8)",0.1,0.855,1.0067,0.6499,0.5889
